2026/04/07 11:23:59 [error] 2690557#2690557: *11780879 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.2, server: gdi.ps.fhgdps.com, request: "POST /dashboard/accounts/loginGJAccount.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/07 11:24:00 [error] 2690557#2690557: *11780879 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.2, server: gdi.ps.fhgdps.com, request: "POST /dashboard/accounts/loginGJAccount.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/07 11:24:01 [error] 2690557#2690557: *11780879 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.2, server: gdi.ps.fhgdps.com, request: "POST /dashboard/accounts/loginGJAccount.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/07 11:34:45 [error] 2690538#2690538: *11784712 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.2, server: gdi.ps.fhgdps.com, request: "GET /dashboard/switcher/getInfo.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/07 11:35:25 [error] 2690538#2690538: *11784712 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.2, server: gdi.ps.fhgdps.com, request: "GET /dashboard/switcher/getInfo.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/08 14:12:44 [error] 2981620#2981620: *12306504 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.3, server: gdi.ps.fhgdps.com, request: "POST /dashboard/updateGJUserScore22.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/08 14:12:48 [error] 2981620#2981620: *12306504 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.3, server: gdi.ps.fhgdps.com, request: "POST /dashboard/updateGJUserScore22.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/08 14:12:49 [error] 2981620#2981620: *12306504 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 185.202.247.3, server: gdi.ps.fhgdps.com, request: "POST /dashboard/getGJLevels21.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/12 17:47:39 [error] 4146677#4146677: *14434278 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 89.130.136.162, server: gdi.ps.fhgdps.com, request: "GET /switcher/getInfo.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/12 17:49:13 [error] 4146677#4146677: *14434278 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 89.130.136.162, server: gdi.ps.fhgdps.com, request: "GET /switcher/getInfo.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
2026/04/13 16:12:13 [error] 207098#207098: *14885595 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 89.130.136.162, server: gdi.ps.fhgdps.com, request: "GET /switcher/getInfo.php HTTP/2.0", upstream: "fastcgi://unix:/var/run/php/gdps_gdi.sock:", host: "gdi.ps.fhgdps.com"
